Participant,Hostage,Time,Hostage,Time,Hostage,Time,Hostage,Time,Hostage,Time,Hostage,Time,Hostage,Time,Hostage,Time,Hostage,Time,Hostage,Time,Hostage,Time,Hostage,Time,Hostage,Time,Hostage,Time,Hostage,Time
22,1,17.159999616444104,2,65.99999852478481,3,106.8399976119398,15.0,327.71999267488684,14.0,335.57999249920283,13.0,376.7399915792048,12.0,460.53998970612884,11.0,470.9599894732238,9.0,774.9399826787409,8.0,776.4199826456609,7.0,786.9399824105199,10.0,846.5399810783568,6.0,978.0399781390988,4.0,1422.7799681983888,5.0,1458.1799674071387
23,1,12.619999717920997,2,36.799999177455895,3,48.399998918175704,15.0,239.95999463647567,14.0,267.7399940155447,13.0,300.1999932900067,12.0,312.43999301642174,11.0,337.15999246388674,6.0,463.0799896493557,7.0,474.0199894048277,8.0,492.6999889872967,9.0,504.21998872980475,10.0,526.9599882215257,4.0,626.5999859943987,5.0,631.2199858911338
24,1,17.979999598116095,2,59.63999866694209,3,78.25999825075309,6.0,361.3999919220801,7.0,363.3199918791651,8.0,370.9999917075041,9.0,374.9799916185441,10.0,379.3599915206431,11.0,503.79998873919214,12.0,519.7999883815651,13.0,557.8599875308571,14.0,578.4999870695171,15.0,626.399985998869,4.0,758.6799830421801,5.0,764.059982921928
25,1,9.679999783634997,2,20.979999531060002,3,40.219999101013,15.0,152.67999658733598,14.0,158.59999645501298,13.0,182.39999592304198,12.0,192.699995692819,11.0,217.179995145648,10.0,265.499994065612,9.0,276.859993811696,8.0,287.85999356582704,7.0,307.63999312371004,6.0,323.31999277323405,5.0,584.8599869273601,4.0,585.179986920207
26,1,17.8999995999038,5,155.3399965278804,3,249.6799944192174,2.0,309.2199930883944,14.0,501.9199887812134,15.0,543.5199878513814,13.0,581.8799869939684,12.0,606.3999864459034,11.0,652.6799854114654,8.0,760.7999829947944,7.0,776.8199826367204,6.0,866.1999806389214,10.0,890.5999800935384,9.0,917.6199794895944,4.0,1004.2199775539375
27,1,5.1999998837709995,2,37.3799991644919,3,51.639998845756104,6.0,357.9599919989701,7.0,364.99999184161413,8.0,381.0799914821981,9.0,392.2399912327531,10.0,404.29999096319114,11.0,438.89999018982013,12.0,443.4599900878971,13.0,479.6399892792111,,,,,,,,
28,1,21.159999527037186,2,45.3399989865721,3,61.81999861821508,14.0,244.91999452561106,15.0,249.49999442324008,13.0,298.73999332264106,12.0,325.79999271780207,11.0,357.9999919980761,8.0,408.2399908751251,9.0,411.63999079912907,7.0,431.9999903440471,6.0,451.2599899135531,10.0,497.9599888697271,4.0,729.6399836912751,5.0,735.039983570576
29,1,19.799999557435505,2,41.8999990634621,3,53.459998805076005,12.0,251.85999437049,13.0,269.359993979335,11.0,285.079993627965,14.0,381.53999147191604,15.0,404.399990960956,10.0,553.419987630099,9.0,578.259987074882,8.0,597.819986637682,7.0,615.159986250103,6.0,637.19998575747,4.0,767.019982855767,5.0,774.959982678294
30,1,7.57999983057384,2,15.819999646395438,3,27.039999395608938,15.0,113.99999745190114,14.0,130.13999709114415,13.0,158.19999646395414,12.0,174.27999610453813,11.0,195.87999562174113,10.0,212.99999523907914,8.0,223.99999499321015,7.0,233.41999478265615,6.0,238.67999466508613,4.0,365.99999181926216,5.0,368.45999176427716,9.0,578.8599870614711
31,1,6.959999844431991,2,41.339999075978966,3,53.959998793899985,6.0,209.83999530970996,7.0,217.79999513178998,8.0,228.259994897991,9.0,233.59999477863298,10.0,242.81999457254997,11.0,268.499993998557,12.0,295.399993397295,13.0,310.57999305799603,14.0,317.539992902428,15.0,325.21999273076597,4.0,423.53999053314305,5.0,773.9599827006471
32,1,29.539999339730002,2,42.219999056309916,3,57.57999871298989,8.0,230.97999483719968,9.0,247.73999446257994,10.0,265.7199940606997,7.0,275.3199938461198,6.0,295.4399933964096,15.0,393.1799912117499,14.0,416.87999068201,13.0,436.17999025062,12.0,469.6799895018398,11.0,491.15998902171987,4.0,574.0599871687596,5.0,1029.2799769937997
33,1,62.7999985963104,2,113.63999745994839,3,146.31999672949343,15.0,1008.2399774640844,14.0,1031.2799769490944,13.0,1067.9799761287843,12.0,1096.8199754841644,11.0,1130.3799747340345,10.0,1214.5199728533644,9.0,1234.3399724103544,8.0,1252.9199719950543,7.0,1278.9399714134645,6.0,1292.4999711103744,4.0,1527.0599658675444,5.0,1540.5999655649043
34,1,4.239999905228601,2,25.099999438971295,15,125.25999720022048,14.0,137.1199969351295,13.0,156.3799965046345,12.0,173.7999961152675,11.0,214.55999520421048,10.0,236.8399947062135,9.0,241.6599945984785,8.0,242.79999457299752,7.0,262.23999413847946,6.0,280.69999372586653,3.0,479.49998928233947,4.0,718.7399839349096,5.0,736.3599835410715
35,1,23.79999946802861,15,292.7599934563046,14,300.6199932806196,13.0,430.6599903739986,12.0,480.4199892617766,11.0,532.2999881021675,8.0,699.6599843613806,9.0,707.3199841901655,7.0,757.5599830672146,6.0,779.4199825786055,10.0,795.4599822200836,3.0,1143.9399744309455,2.0,1148.0999743379655,5.0,1314.6799706146155,4.0,1316.3999705761655
36,1,14.7799996696412,2,32.259999278932796,3,48.3999989181757,5.0,139.7799968756733,4.0,142.6799968108533,7.0,185.2399958595633,6.0,204.79999542236328,8.0,216.0399951711293,9.0,227.1399949230253,10.0,240.2199946306643,11.0,262.55999413132633,12.0,293.81999343261134,13.0,319.5999928563833,14.0,331.87999258190433,15.0,345.1599922850723
37,1,8.919999800622499,2,40.5999990925193,3,50.219998877495996,7.0,193.879995666444,6.0,194.759995646775,8.0,206.81999537721302,9.0,212.35999525338397,10.0,220.539995070547,11.0,243.25999456271498,12.0,248.75999443978102,13.0,263.67999410629295,14.0,272.01999391987897,15.0,273.839993879199,4.0,551.1399876810609,5.0,554.1999876126649
38,1,12.459999721497304,2,24.2399994581938,3,36.71999917924409,,,,,,,,,,,,,,,,,,,,,,,,
